iter	Passed	Remaining
1606	419996	102712
1607	420379	102480
1608	420694	102232
1609	420916	101961
1610	421209	101707
1611	421533	101460
1612	421896	101223
1613	422199	100972
1614	422511	100722
1615	422726	100449
1616	423013	100194
1617	423279	99933
1618	423553	99675
1619	423834	99417
1620	424073	99151
1621	424339	98890
1622	424562	98619
1623	424819	98357
1624	425052	98089
1625	425314	97827
1626	425562	97562
1627	425839	97304
1628	426141	97052
1629	426370	96783
1630	426576	96509
1631	426840	96248
1632	427107	95987
1633	427385	95730
1634	427617	95462
1635	427920	95209
1636	428165	94944
1637	428474	94693
1638	428754	94435
1639	428979	94166
1640	429193	93894
1641	429474	93636
1642	429764	93381
1643	430052	93125
1644	430309	92863
1645	430604	92608
1646	430902	92355
1647	431186	92098
1648	431504	91848
1649	431760	91585
1650	431979	91314
1651	432210	91046
1652	432445	90779
1653	432722	90521
1654	432936	90249
1655	433164	89981
1656	433417	89717
